ID,Name,Number
2,Duhaga Secondary School,70
4,Green Hill Academy School,120
6,Katuuso Community Secondary School,24
7,Kitara Secondary School,47
8,Light High School Seguku,50
10,Midland High School,130
13,Nabumali High School,120
18,Sir Tito Winyi Secondary School,46
21,Taibah International School,50
26,King James,200
27,Lango College,67
28,Rachelle Comprehensive School,58
29,St Katherine,63
30,St Paul's College Mbale,95
31,Aidan College,150
34,Chemwania High School,70
36,Gamatui Girls,19
37,Iganga High School,300
38,Iganga Secondary School,157
41,Kabuwoko Secondary School,50
42,Kako Senior Secondary School,80
43,Kakungulu Memorial School,220
44,Kapchorwa Secondary School,70
48,Mbale Comprehensive High School,250
50,Najjanankumbi Young Christian Secondary School,73
53,Our Lady of Africa Secondary School Namilyango,200
56,Sebei College Tegeres,76
57,St Andrew's Senior Secondary School,40
59,St John's Secondary School Wakitaka,100
61,St Mary's College Lugazi,300
63,Victoria High School,50
64,Wanyange Girls Secondary School,120
66,Kalinabiri Secondary School Ntinda,105
68,Kitebi Secondary School,250
69,Lubiri Senior Secondary School,700
70,Mackay Memorial College School,84
72,Sipi Secondary School,42
73,St Peter's Nsambya Secondary School,200
76,Tropical High School Nsambya,135
77,Africana High School,25
79,Alliance High School Soroti,32
81,Archbishop Kiwanuka Secondary School Kitovu,78
82,Asinge Secondary School,48
83,Asuret Parents Senior Secondary School,76
84,Atiri Secondary School,13
85,Balawoli Senior Secondary School,20
86,Bexhill High School,29
87,Bilal Islamic Secondary School Bwaise,56
89,Bright College Nawanende Secondary School,61
92,Bugiri High School,65
93,Bugulumbya Secondary School,15
94,Bukooli College Bugiri,138
95,Bukoyo Secondary School,210
96,Bukulula Secondary School,45
97,Busembatia Secondary School,14
98,Busiu Secondary School,48
99,Busoga College Mwiri,93
100,Busoga High School,54
102,Busoga Senior Secondary School,82
103,Buwunga Senior Secondary School,9
104,Buzaya Secondary School,15
105,Bweyogerere High School,28
106,Caltec Academy,126
107,Cardinal Nsubuga Secondary School Nyenga,65
108,Central View High School Mukono,30
109,Crane High School Soroti,86
110,Cross Roads Secondary School,65
111,Eastland High School,30
112,Equator College Lugazi,52
113,Excel High School Mbikko,25
114,Fairland High School,40
115,Fairmount High School,18
117,Forest Hill College,61
120,Global Skills Secondary School Nakulabye,20
121,Gloryland Christian College,22
122,Gloryland High School,30
123,Good Heart Secondary School,103
124,Green Hill College Bulopa,60
126,He Reigns Secondary School,15
128,Helping Hand Secondary School Tororo,10
129,Hillside Secondary School Kamuli,70
130,Holy Cross Lake View Secondary School,75
131,Hometek High School,3
132,Honest Hill Secondary School,85
133,Hope Community High School,45
134,Iganga Parents Secondary School,120
135,Iganga Progressive Secondary School,138
136,Iki-Iki High School,120
137,Iqra Secondary School Jinja,9
139,James Ochola Memorial Secondary School,15
141,Jinja Parents School Kagoma,11
142,Jinja Progressive Secondary School,527
143,Joy Dominion Academy Musita,24
144,Kabowa High School,200
145,Kabukunge Muslim Secondary School,20
146,Kakira High School,73
147,Kakoola High School,52
148,Kampala Apostolic Secondary School,48
149,Kampala Citizens College School,50
150,Kampala High School,82
151,Kampala Secondary School,180
152,Kamuda Parents Secondary School,20
153,Kamuli College,37
154,Kamuli Girls College,20
155,Kamuli Progressive College,100
156,Kapchorwa Parents School,35
157,Kasambira High School,11
158,Katerema Secondary School,23
159,Katikamu SDA Secondary School,50
160,Katwe Noor Secondary School,24
161,Kawempe Muslim Secondary School,15
162,Kawempe Royal College,80
163,Kibuli Secondary School,260
164,Kigulu College,48
166,Kiira College Butiki,185
168,Kijjabwemi Secondary School,96
169,Kingstone High School,20
171,Kiribaki Secondary School,30
173,Kisowera Secondary School,60
174,Kisozi Progressive Secondary School,10
177,Kololo High School,40
178,Kubusa Secondary School,20
180,Kyadondo Secondary School,160
181,Lakeside Secondary School Gayaza,15
182,Liahona High School,10
183,Light Secondary School Kitoma,17
184,Light Secondary School Soroti,120
185,London High School,20
186,Lords Meade Vocational College,31
187,Lugazi Mixed School Naalya,57
188,Lutengo United Secondary School,30
190,Luzinga Secondary School,30
191,Lwanda High School,30
192,Lweru Senior Secondary School,40
193,Apas Secondary School,35
194,Magogo Secondary School,45
197,Maluku Secondary School,32
200,Manafwa High School,180
201,Manjasi High School,33
202,Mapeera Secondary School,64
203,Marta Secondary School,15
207,Masese Girls Boarding Secondary School,10
208,Matuumu Secondary School,35
209,Mazzoldi College Nakaseke,6
210,Mbale Secondary School,683
211,Mbogo High School,150
212,Mbogo Mixed Senior Secondary School,230
215,Millenium Universal College,12
216,Mirembe Islamic Secondary School,10
219,Mukono High School,120
220,Mukono Kings High School,24
221,Mukono Parents High School,48
222,Mukono Senior Secondary School,6
223,Muljibhai Madhvani College Wairaka,60
224,Mulusa Academy Wobulenzi,140
225,Musese Secondary School,35
227,Muterere Secondary School,7
228,Nakalama Secondary School,22
229,Nakaloke Islamic Secondary School,60
230,Nakaloke Secondary School,48
231,Nakanyonyi Girls Secondary School,30
232,Nakigo Secondary School,15
233,Namasagali College,10
235,Namwezi Secondary School,160
236,Nateete Muslim High School,48
237,Nawanyago College,20
239,Notre Dame High School,45
242,Numasa Secondary School,64
244,Nyondo Secondary School,98
245,Okasha High School,23
246,Olila High School,48
248,Our Lady of Africa Secondary School Mukono,52
249,Pearl High School Makindye,56
252,Rena College Mayuge,102
254,Risah Standard Academy,50
255,Rock High School,341
256,Royal College Kamuli,45
259,Rubongi Army Secondary School,90
260,Rubongi Secondary School,9
261,Seeta College,10
262,Seeta Senior Secondary School,13
264,Soroti Community Secondary School,94
266,St Andrew Kaggwa Secondary School Kasaala,40
267,St Andrew's Secondary School Naminage,100
268,St Anthony Secondary School Kayunga,74
269,St Benedict High School,9
271,St Charles Lwanga Secondary School,45
272,St Daniel Comboni College Kasaala,
273,St Gonzaga Secondary School Kagoma,10
275,St John Bosco Secondary School Kamuli,15
276,St John's Secondary School Kabuwoko,45
278,St John's Secondary School Nandere,15
279,St Kizito Secondary School Katikamu Kisule,80
280,St Lawrence Secondary School Idudi,20
281,St Luke's Secondary School Mengo,32
282,St Mbuga Vocational Secondary School,84
283,St Micheal Vocational Secondary School,11
284,St Monica Girls Secondary School,25
285,St Monica High School Kabuwoko,5
286,St Paul Secondary School Mbulamuti,30
287,St Paul Secondary School Nasuti,50
288,St Peter's College Buweera,65
289,St Peter's Ndiwulira Namugongo,20
290,St Stephen Secondary School Soroti,25
291,St Stephen's Bugiri Secondary School,22
292,St Stephen Secondary School,138
293,Standard Central College Namwendwa,100
294,Nkutu Memorial Secondary School,200
295,Standard High School Bulumagi,45
297,Target Community College,45
299,Teso College Aloet,180
300,Tororo Comprehensive Secondary School,20
302,Tororo Universal College,43
304,Trinity Secondary School Nakibizzi,25
305,Tropical College Tororo,12
306,Uganda Martyrs College Ssonde,27
307,Uganda Martyrs High School Rubaga,141
310,University Link High School,108
311,Uplands High School,40
316,Waitambogwe Secondary School,55
317,Winston Stardard Secondary School,56
318,Wobulenzi College School,
320,Wobulenzi Town Academy,45
321,Yefe High School,14
322,St Denis Ssebugwawo Secondary School Ggaba,56
323,Giants' College Luwero,15
325,Luzira Secondary School,170
326,Namakwa Senior Secondary School,50
327,Paul Mukasa Secondary School Kigunga,60
329,St Antonios Orthodox Secondary School Monde,13
330,St Mary's College Kisubi,140
331,Trinity Senior Academy,70
332,Tororo Girls' School,112
333,PMM Girls' School Jinja,250
334,Lira Town College,250
335,Dr Obote College Boroboro,160
336,Comboni College Lira,39
338,Leo Atubo Secondary School,24
339,Townside High School,47
340,The Vision High School Lira,46
341,DJRA Comprehesive Secondary School,52
342,St Balikuddembe Secondary School Kisoga,50
343,Wakyato Seed Secondary School,
345,Bright Light College,46
346,St Peter's Secondary School Magwa,115
351,Jinja Secondary School,
